,age,workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,income >50K
107,30,2,1,7,4,5,3,4,0,0,40,38,0
109,42,2,11,9,2,5,0,4,0,0,40,38,0
110,24,2,9,13,4,11,2,4,0,0,40,38,0
111,38,2,14,15,2,9,0,4,0,0,40,38,1
112,56,4,11,9,2,7,0,4,0,1887,50,1,1
115,53,2,6,5,2,5,0,4,0,0,50,38,0
116,56,3,15,10,2,11,0,4,0,0,50,38,0
117,49,1,8,11,2,2,0,2,0,0,40,38,1
118,55,2,15,10,2,11,0,4,0,0,56,38,0
119,22,2,11,9,4,2,1,4,0,0,41,38,0
121,40,2,9,13,2,3,0,4,0,0,60,38,0
122,30,2,9,13,4,3,3,2,0,0,40,10,0
123,29,5,9,13,2,9,0,4,0,0,50,38,1
124,19,2,15,10,4,7,3,2,0,0,35,38,0
127,31,2,7,12,2,0,0,4,0,0,40,38,1
129,39,2,15,10,0,2,1,4,0,0,40,38,0
132,38,4,11,9,2,2,0,4,4386,0,35,38,0
133,37,2,9,13,2,11,0,4,0,0,50,38,0
135,38,0,12,14,2,9,0,4,0,0,40,19,1
136,43,4,11,9,2,2,0,4,0,0,60,38,0
138,20,2,15,10,4,11,3,4,0,0,20,38,0
139,49,2,15,10,2,2,0,1,0,0,40,38,1
140,61,3,11,9,2,2,0,4,0,0,40,38,0
142,19,2,15,10,4,7,3,4,0,0,30,25,0
144,70,2,15,10,4,12,2,4,0,0,40,38,0
146,22,2,15,10,2,7,0,4,0,0,24,38,0
148,64,2,1,7,2,2,0,4,0,2179,40,38,0
153,21,2,11,9,4,2,3,4,0,0,35,38,0
155,48,2,11,9,2,2,0,4,0,0,46,38,0
156,23,2,9,13,4,5,1,4,0,0,40,38,0
157,71,4,15,10,5,11,4,2,0,1816,2,38,0
158,29,2,11,9,0,2,1,4,0,0,60,38,0
159,42,2,9,13,5,7,2,2,0,0,50,38,0
164,45,4,12,14,2,11,0,4,0,0,40,38,1
166,39,0,7,12,4,3,1,4,0,0,42,38,0
167,46,5,12,14,6,10,4,4,0,0,40,38,0
168,18,2,1,7,4,5,3,4,0,0,16,38,0
170,27,2,11,9,4,7,1,4,0,1980,40,38,0
171,28,5,11,9,2,10,0,4,0,0,40,38,0
172,51,2,15,10,2,11,0,4,0,1977,40,38,1
173,27,2,9,13,4,2,1,4,0,0,50,38,0
174,28,5,9,13,2,9,0,4,0,0,40,38,1
176,21,2,11,9,4,2,3,2,0,0,40,38,0
177,34,2,11,9,4,5,1,2,0,0,40,38,0
178,18,2,11,9,4,7,3,4,0,0,12,38,0
179,33,2,9,13,2,9,0,4,0,0,65,38,0
180,44,1,15,10,2,3,0,2,0,0,38,38,1
182,30,2,15,10,4,2,1,2,0,0,45,38,0
183,40,2,5,4,2,6,0,4,0,0,40,25,1
184,37,0,15,10,2,0,0,4,0,0,42,38,1
185,34,2,11,9,2,0,0,2,0,0,40,38,0
189,58,5,10,16,2,9,0,4,0,0,1,38,1
191,24,2,15,10,2,6,0,4,0,0,40,38,0
192,41,1,9,13,2,2,0,2,0,0,40,38,0
193,47,2,15,10,2,12,0,4,0,0,45,38,0
194,41,0,9,13,2,12,0,4,0,0,24,38,0
195,23,2,4,3,2,13,2,4,0,0,40,25,0
196,36,2,15,10,0,2,1,4,0,0,40,38,0
198,35,2,12,14,2,9,2,4,7298,0,40,38,1
199,24,4,11,9,4,11,1,4,0,0,40,38,0
202,51,2,9,13,2,3,0,4,0,0,50,38,1
206,36,2,9,13,2,7,0,2,7298,0,36,38,1
207,35,2,11,9,0,2,1,4,0,0,60,38,0
210,44,1,11,9,2,13,0,2,0,0,40,38,0
211,37,2,11,9,2,2,0,4,0,0,40,38,1
213,60,2,11,9,2,2,0,1,0,0,40,38,0
214,54,3,5,4,2,6,0,4,0,0,40,38,1
215,37,2,9,13,4,3,1,2,0,0,60,38,1
217,38,2,9,13,2,11,0,4,0,0,50,30,0
218,45,2,9,13,2,9,0,4,0,0,55,38,0
219,25,2,0,6,4,2,1,4,0,0,40,38,0
220,31,2,15,10,2,5,0,4,0,0,40,38,0
222,90,2,11,9,4,7,1,2,0,2206,40,38,0
223,54,2,11,9,2,0,0,2,0,0,20,38,0
227,66,4,11,9,2,4,0,4,1409,0,50,38,0
230,35,2,1,7,5,13,1,2,3674,0,40,38,0
232,25,2,15,10,4,0,1,4,0,0,42,38,0
234,28,2,14,15,4,9,1,4,0,0,55,38,1
235,59,5,11,9,2,7,0,4,0,0,40,38,0
237,41,2,9,13,2,3,0,4,0,0,50,19,1
238,38,1,12,14,2,3,0,4,0,0,70,38,1
239,23,2,11,9,4,13,3,4,0,0,40,38,0
240,40,2,9,13,2,9,0,4,0,0,40,38,1
242,24,5,7,12,2,10,0,4,0,0,50,38,0
244,38,2,15,10,0,2,1,4,0,1741,40,38,0
246,58,2,11,9,2,0,0,4,0,0,45,38,1
248,40,2,7,12,2,12,0,4,0,1977,60,38,1
253,19,1,15,10,4,0,3,4,0,0,40,38,0
254,58,2,15,10,4,13,1,4,0,0,20,38,0
255,42,4,11,9,2,4,0,1,0,0,40,0,1
259,50,2,5,4,0,2,1,4,0,0,40,38,0
261,45,2,11,9,2,11,0,4,0,0,60,38,0
262,17,2,1,7,4,7,3,4,0,0,12,38,0
263,59,2,15,10,2,11,0,4,4064,0,40,38,0
264,26,2,1,7,2,2,0,4,0,0,40,38,0
265,37,3,15,10,2,3,0,1,0,0,75,36,1
267,64,2,11,9,2,3,0,4,0,0,40,38,1
270,61,2,11,9,2,3,0,4,0,0,40,38,1
271,17,2,6,5,4,7,3,4,1055,0,24,38,0
272,50,4,12,14,2,4,0,4,2407,0,98,38,0
273,27,1,12,14,4,9,3,4,0,0,35,38,0
275,43,2,11,9,2,5,0,2,0,0,40,38,0
276,44,2,15,10,2,2,0,4,7298,0,40,38,1
281,42,1,15,10,2,2,0,4,5178,0,40,38,1
284,21,2,11,9,4,5,3,4,0,0,40,38,0
285,57,0,12,14,2,11,0,4,15024,0,40,38,1
286,41,2,14,15,2,9,0,4,0,0,60,38,1
287,50,2,15,10,0,7,1,4,0,0,45,38,0
289,50,2,5,4,2,2,0,4,0,0,40,6,0
290,36,2,9,13,2,9,0,4,0,0,45,38,0
292,29,1,9,13,4,10,1,4,0,0,56,38,0
293,21,2,15,10,4,11,3,4,0,0,45,38,0
295,65,2,11,9,2,13,0,4,0,0,16,38,0
298,24,2,11,9,4,2,3,4,0,0,40,38,0
299,38,2,11,9,0,11,1,4,0,0,80,38,0
300,48,2,9,13,2,0,0,4,7688,0,40,38,1
302,31,2,11,9,2,13,0,4,0,0,45,38,1
303,55,2,11,9,2,11,0,4,4386,0,40,38,1
306,26,2,7,12,4,12,1,4,0,0,45,38,0
308,35,2,7,12,2,0,0,4,0,0,40,38,1
309,41,3,15,10,2,4,0,4,0,0,54,38,1
310,26,2,9,13,4,11,1,4,0,0,40,38,0
311,34,2,12,14,2,3,0,1,7298,0,35,35,1
314,22,2,15,10,4,11,3,4,0,0,15,38,0
315,24,2,15,10,4,6,1,4,0,0,40,38,0
316,77,4,15,10,2,11,0,4,0,0,40,38,0
320,39,4,11,9,2,3,0,4,0,0,40,38,0
321,43,2,15,10,2,2,0,4,0,1485,50,38,0
322,35,2,11,9,0,13,1,4,0,0,45,38,0
324,76,4,12,14,2,2,0,4,0,0,10,38,0
325,63,4,11,9,2,4,0,4,0,0,45,38,0
328,58,4,11,9,2,5,0,4,0,0,40,38,0
329,66,2,11,9,4,13,1,4,2050,0,55,38,0
330,41,2,15,10,4,2,1,2,0,0,45,38,0
331,26,2,9,13,4,0,1,4,0,0,40,38,0
332,47,2,8,11,4,7,1,4,0,0,40,38,0
333,55,1,0,6,2,0,0,4,0,0,40,38,0
334,53,2,11,9,2,13,0,4,0,0,40,38,0
335,17,2,4,3,4,7,2,4,0,0,48,25,0
336,30,2,11,9,4,2,2,4,0,0,40,38,0
337,49,2,12,14,4,9,1,4,0,0,60,38,0
338,19,2,11,9,4,11,4,2,0,0,30,13,0
339,45,2,11,9,2,7,0,2,0,0,40,38,0
340,26,2,7,12,4,11,1,4,0,0,40,38,0
341,38,2,8,11,2,2,0,4,7298,0,40,38,1
342,36,5,11,9,2,10,0,4,7298,0,40,38,1
343,33,2,11,9,4,4,1,4,0,0,20,38,0
345,43,4,9,13,4,11,1,4,0,0,42,38,0
348,56,2,7,12,3,7,1,4,0,0,25,19,0
349,31,2,9,13,4,9,3,4,0,0,25,38,0
350,33,2,9,13,2,3,0,4,0,0,40,38,1
351,26,2,11,9,2,7,0,4,0,0,40,38,0
352,33,2,9,13,2,3,0,4,0,0,40,38,1
353,46,1,1,7,2,13,0,4,0,0,30,38,0
355,38,0,11,9,2,0,0,4,0,0,40,38,1
356,65,2,1,7,6,7,4,3,0,0,40,38,0
357,40,2,8,11,2,12,0,4,0,0,40,38,1
359,26,4,6,5,2,2,0,4,0,0,40,31,0
361,62,2,12,14,2,9,0,4,0,0,40,38,1
362,43,2,9,13,2,13,0,4,0,0,45,38,0
363,43,2,9,13,0,3,1,4,0,1564,45,38,1
364,22,2,11,9,3,11,1,4,0,0,55,38,0
365,28,2,11,9,2,2,0,4,0,0,40,38,0
366,56,4,15,10,2,11,0,4,0,0,45,38,0
371,17,2,1,7,4,7,3,4,0,0,10,38,0
372,40,5,8,11,2,6,0,4,0,0,38,38,1
373,45,2,11,9,2,6,0,2,0,0,40,38,0
374,44,2,11,9,4,2,1,2,0,0,40,38,0
377,23,2,15,10,4,11,1,4,0,0,40,38,0
378,46,4,12,14,0,3,1,4,0,0,30,38,0
379,38,2,11,9,2,11,0,4,0,0,50,38,0
380,54,2,11,9,0,13,1,4,0,0,40,38,0
382,25,2,15,10,2,2,0,4,0,0,40,38,0
386,29,2,11,9,5,6,1,4,0,0,40,38,0
391,27,2,9,13,4,2,1,4,0,0,50,38,0
392,46,4,7,12,5,2,1,4,0,0,40,38,0
395,44,2,15,10,2,12,0,4,0,0,40,38,0
398,25,2,9,13,2,3,0,4,0,0,55,38,1
399,52,3,9,13,2,3,0,4,0,0,50,38,1
400,20,2,15,10,4,5,3,4,0,0,40,38,0
402,50,5,9,13,2,10,0,4,0,0,40,38,1
404,28,2,5,4,2,5,0,3,0,2179,40,32,0
405,41,2,12,14,2,3,0,4,0,1977,65,38,1
406,28,2,11,9,2,0,0,4,0,0,40,38,0
407,46,4,11,9,2,2,0,4,0,0,25,38,0
409,32,2,15,10,2,3,0,4,0,0,50,38,0
413,46,2,10,16,2,3,0,4,15024,0,60,38,1
414,31,5,15,10,2,6,0,4,0,0,40,38,0
415,35,2,2,8,0,2,1,4,0,0,50,38,1
416,52,2,3,2,2,6,0,4,0,0,40,25,0
418,34,1,1,7,5,6,1,2,0,0,40,38,0
420,20,2,15,10,2,11,0,4,0,0,30,38,0
421,17,2,1,7,4,5,3,4,2176,0,18,38,0
423,29,2,11,9,0,4,1,4,0,0,40,38,0
425,25,2,11,9,2,13,0,4,0,0,60,38,0
426,36,0,12,14,4,9,1,4,0,1408,40,38,0
427,23,2,11,9,4,5,1,4,0,0,72,5,0
428,63,3,11,9,2,3,0,4,0,0,40,38,1
429,47,1,12,14,2,9,0,4,0,0,40,38,0
434,27,2,15,10,4,2,3,1,0,1980,40,29,0
435,33,2,12,14,2,9,0,4,0,0,50,38,1
436,34,1,11,9,4,4,1,2,594,0,60,38,0
438,23,2,15,10,2,0,0,4,0,0,40,38,0
440,29,2,9,13,4,9,1,4,0,0,40,38,0
442,24,0,11,9,4,1,3,4,0,0,40,38,0
443,44,2,15,10,2,9,0,4,0,0,40,38,1
444,27,2,6,5,4,2,2,4,0,0,40,25,0
445,20,2,15,10,4,11,1,4,0,0,35,38,0
447,51,2,11,9,2,2,0,0,0,0,40,38,0
448,20,2,11,9,2,6,0,4,0,0,40,38,0
451,45,3,15,10,2,2,0,4,0,0,55,38,1
452,60,2,11,9,2,2,0,4,0,0,40,38,1
455,40,2,8,11,2,6,0,1,0,0,40,38,1
457,38,2,15,10,2,13,0,2,0,0,50,38,0
458,23,2,11,9,2,13,0,4,0,0,60,38,0
460,44,2,7,12,4,4,3,4,0,0,40,38,0
461,54,1,11,9,2,13,0,2,0,0,40,38,0
462,32,2,9,13,2,9,0,4,0,0,50,38,0
463,50,2,3,2,3,2,4,4,0,0,40,38,0
466,52,2,11,9,0,13,4,4,0,0,40,38,0
467,38,2,15,10,2,13,0,4,0,0,40,38,0
468,49,2,12,14,2,3,0,4,0,1977,45,38,1
470,60,2,15,10,4,9,4,4,0,0,40,38,1
472,35,2,11,9,4,2,1,4,0,0,40,38,0
473,30,2,11,9,4,13,1,4,0,0,60,38,0
476,17,2,6,5,4,7,1,4,0,0,6,38,0
477,22,2,15,10,4,5,3,4,0,0,30,38,0
478,27,2,0,6,4,7,1,4,0,0,40,38,0
480,33,2,7,12,2,2,0,4,0,0,45,31,0
481,43,4,15,10,2,2,0,4,0,0,20,38,0
482,28,5,9,13,4,9,1,4,0,0,20,38,0
487,59,1,11,9,2,13,0,4,0,0,45,38,0
489,38,2,9,13,2,11,0,4,15024,0,60,38,1
491,46,0,11,9,0,0,1,4,0,0,40,38,0
494,33,2,9,13,4,2,3,4,0,0,20,38,0
496,20,2,15,10,4,6,3,4,0,0,40,38,0
497,23,2,4,3,4,7,3,4,0,0,40,7,0
500,23,1,11,9,4,4,1,4,0,0,40,30,0
501,62,1,11,9,2,13,0,4,0,0,40,38,0
502,52,2,15,10,2,0,0,4,0,0,40,38,0
505,24,2,9,13,4,3,1,2,0,0,40,38,0
506,19,2,15,10,4,10,3,4,0,0,8,38,0
507,43,2,15,10,2,3,0,4,0,0,40,38,0
510,49,2,8,11,3,5,4,4,0,1380,42,38,0
512,32,2,8,11,4,2,1,4,0,0,45,38,0
513,34,2,15,10,2,9,0,4,0,0,50,38,1
514,28,2,11,9,0,2,1,4,0,0,45,38,0
519,34,2,9,13,2,9,0,4,0,0,50,38,1
520,38,3,9,13,2,3,0,4,15024,0,80,38,1
521,50,2,11,9,2,3,0,4,7688,0,50,38,1
522,24,1,15,10,0,5,1,2,0,0,50,38,0
523,37,1,15,10,2,12,0,4,0,0,45,38,1
524,44,2,15,10,0,6,4,4,0,0,58,38,1
526,42,2,9,13,2,3,0,4,0,0,40,38,1
528,38,4,11,9,2,2,0,4,0,0,50,38,0
529,44,4,12,14,2,9,0,4,0,0,40,38,0
531,26,2,11,9,4,6,1,4,0,0,40,38,0
532,36,2,11,9,2,7,0,2,0,0,40,38,0
534,67,2,14,15,2,9,0,4,20051,0,48,38,1
535,39,1,2,8,2,12,0,4,0,0,50,38,0
537,29,2,8,11,5,2,1,4,0,0,40,38,0
540,44,2,15,10,2,13,0,4,0,0,40,38,0
541,29,2,10,16,4,9,3,4,0,0,40,38,0
543,27,2,11,9,4,13,1,4,0,0,40,38,0
544,27,2,15,10,2,11,0,4,0,0,50,38,0
547,35,1,15,10,2,10,0,4,0,0,40,38,0
548,21,2,11,9,4,5,3,4,0,0,36,38,0
549,28,2,15,10,4,2,4,4,0,0,40,38,0
550,46,4,15,10,0,3,1,4,0,0,50,38,0
556,35,2,11,9,2,6,0,4,0,0,40,38,0
559,30,2,1,7,2,7,0,4,0,0,40,25,0
560,28,2,9,13,4,13,1,4,0,0,55,38,0
561,54,2,9,13,2,11,0,4,0,0,35,38,1
562,47,2,15,10,2,9,0,4,0,0,50,38,1
564,52,4,9,13,2,9,0,4,0,0,60,38,1
565,20,2,11,9,4,5,3,0,0,0,48,38,0
566,43,3,12,14,2,3,0,4,5013,0,45,38,0
568,29,4,11,9,5,2,1,4,0,0,35,38,0
569,47,2,12,14,0,3,4,4,0,0,42,38,0
570,24,2,11,9,4,2,3,4,0,0,40,38,0
571,51,2,11,9,2,9,0,4,0,0,40,38,0
572,17,2,1,7,4,11,3,4,0,0,12,38,0
573,37,2,8,11,2,2,0,4,0,1977,40,38,1
575,29,2,9,13,2,3,5,4,0,0,40,38,1
579,26,4,15,10,2,2,0,4,0,0,45,38,0
581,57,2,11,9,2,11,0,4,0,0,40,38,1
582,59,2,11,9,2,2,0,4,0,0,40,38,0
583,27,2,11,9,2,6,0,4,0,0,40,38,0
584,31,4,9,13,4,12,1,4,0,0,40,38,0
586,29,2,15,10,4,0,1,4,0,0,60,38,0
587,18,2,1,7,4,7,3,4,0,0,40,38,0
588,52,2,0,6,2,2,0,4,0,1887,47,38,1
589,57,3,9,13,0,9,1,4,0,0,80,38,0
592,60,2,5,4,4,13,1,4,0,0,48,38,1
593,31,2,9,13,2,9,0,4,7688,0,40,1,1
595,27,2,11,9,4,11,3,4,0,0,40,38,0
597,42,4,14,15,2,9,0,4,0,1902,50,38,1
598,25,2,15,10,4,12,1,4,2174,0,40,38,0
600,32,2,9,13,4,12,1,4,0,0,40,38,0
601,19,2,15,10,4,0,3,4,0,0,28,38,0
603,42,1,6,5,2,7,0,4,0,0,40,38,0
604,35,4,7,12,4,4,1,4,0,0,40,38,0
606,51,2,12,14,2,2,0,4,0,0,40,38,1
607,29,2,11,9,4,2,1,0,0,0,40,38,0
608,36,1,11,9,5,3,1,2,0,0,40,38,0
611,24,2,11,9,4,2,1,4,0,0,40,38,0
612,24,2,11,9,2,5,0,4,0,0,50,38,0
613,26,1,9,13,4,9,3,4,1055,0,40,38,0
615,39,2,11,9,4,5,3,4,0,0,60,38,0
616,30,2,11,9,2,13,0,2,0,0,45,38,0
617,50,4,11,9,2,3,0,4,0,0,32,38,0
618,52,3,9,13,2,11,0,4,0,0,55,38,0
619,46,2,14,15,2,9,0,4,15024,0,45,38,1
623,29,2,8,11,2,13,0,4,0,0,55,38,0
624,47,2,6,5,3,5,4,4,0,0,40,7,0
625,30,2,11,9,4,4,3,2,0,0,60,38,0
626,34,2,11,9,2,11,0,4,0,0,45,38,1
627,38,4,11,9,2,11,0,4,0,0,64,38,0
628,33,2,15,10,2,3,0,4,0,0,40,38,1
629,49,2,9,13,2,11,0,4,0,0,26,38,1
632,43,2,15,10,2,2,0,4,15024,0,60,38,1
634,58,4,11,9,2,2,0,4,0,0,60,38,0
636,21,2,9,13,4,5,1,4,0,0,40,38,0
637,33,2,9,13,2,3,0,4,15024,0,60,38,1
638,47,3,4,3,2,13,0,4,0,0,50,4,0
639,52,4,10,16,2,9,0,4,0,0,60,38,1
640,26,2,11,9,0,2,1,4,0,0,55,38,0
641,60,2,11,9,2,2,0,4,0,0,40,38,0
642,21,2,15,10,4,5,3,4,0,0,40,38,0
643,36,2,15,10,2,11,0,4,5178,0,50,38,1
644,31,2,15,10,2,2,0,4,0,0,45,38,0
645,50,3,10,16,5,9,1,4,0,0,40,38,1
647,71,2,11,9,2,2,0,4,0,0,15,38,0
649,30,5,9,13,2,12,0,4,0,0,40,38,1
650,20,2,15,10,4,7,3,4,0,0,20,38,0
651,24,2,11,9,4,3,2,4,4101,0,50,38,0
652,35,2,10,16,2,9,0,1,0,0,40,35,1
657,34,2,11,9,2,2,0,4,0,0,45,38,0
658,44,2,5,4,2,2,0,4,0,0,35,38,0
659,43,2,11,9,2,6,0,4,0,0,40,38,1
660,44,4,2,8,2,5,0,2,0,0,40,38,1
661,35,2,12,14,4,11,1,4,0,0,60,38,0
662,27,2,15,10,4,9,1,4,0,0,40,38,0
663,43,1,12,14,4,9,1,4,0,0,38,38,0
666,27,5,15,10,2,13,0,4,3411,0,40,38,0
667,42,2,11,9,2,2,0,2,0,0,40,38,1
669,24,2,6,5,4,6,1,4,0,1721,40,38,0
670,48,0,15,10,0,3,1,4,0,0,40,38,0
672,17,4,1,7,4,4,3,4,0,0,10,38,0
673,33,2,9,13,2,3,0,4,0,0,40,38,1
674,50,3,11,9,2,11,0,4,0,0,50,38,1
676,17,2,2,8,4,7,3,4,0,0,16,38,0
677,32,2,15,10,2,0,0,4,0,0,40,25,0
678,31,2,11,9,4,2,1,4,0,0,45,38,0
679,58,4,11,9,6,3,1,4,0,0,50,38,0
680,29,1,11,9,4,10,3,4,0,0,48,38,0
681,37,2,8,11,2,2,0,4,0,0,40,31,1
682,34,4,11,9,2,2,0,4,0,0,40,38,1
683,23,1,15,10,5,3,4,2,0,0,40,38,0
688,41,2,12,14,4,3,1,4,0,0,35,5,0
689,26,2,11,9,4,7,2,4,0,0,30,38,0
690,54,1,15,10,2,4,0,4,0,0,40,38,0
692,42,2,15,10,2,9,0,4,0,0,50,38,0
693,20,2,15,10,4,9,3,4,0,0,20,38,0
696,35,2,12,14,4,9,1,4,0,0,60,38,1
697,31,2,12,14,2,12,0,4,0,1902,40,38,1
700,36,1,9,13,4,9,1,4,0,0,50,38,0
702,21,2,15,10,4,5,3,4,0,0,30,38,0
703,31,4,15,10,2,2,0,4,0,0,40,38,0
706,40,2,2,8,2,7,0,2,0,0,40,22,0
707,45,2,15,10,4,11,1,2,0,0,40,38,0
708,60,2,11,9,2,2,0,4,0,0,35,38,0
709,18,2,1,7,4,7,2,4,0,0,25,38,0
710,28,2,9,13,2,9,0,4,0,0,40,38,0
713,40,2,8,11,2,12,0,4,4386,0,40,38,0
716,33,2,11,9,2,6,0,4,0,0,40,38,0
719,34,2,9,13,2,3,0,4,0,0,45,38,1
720,33,2,11,9,4,7,1,4,0,0,40,38,0
721,41,2,11,9,2,2,0,4,0,2051,60,38,0
722,29,2,9,13,4,9,1,4,4650,0,40,38,0
723,50,1,11,9,2,3,0,4,0,0,42,38,1
724,42,2,9,13,2,3,0,4,7298,0,45,38,1
728,31,2,11,9,2,7,0,4,0,0,40,25,0
732,26,2,8,11,2,0,0,4,0,2377,45,38,0
735,35,2,15,10,2,2,0,4,2407,0,40,38,0
737,43,5,9,13,2,9,0,4,0,0,50,38,0
739,42,2,9,13,2,12,0,4,0,0,40,38,1
741,55,4,11,9,2,13,0,4,0,0,72,38,0
743,26,2,8,11,4,12,3,4,0,0,40,38,0
744,17,2,2,8,4,5,3,4,0,0,20,38,0
746,55,2,11,9,2,13,0,4,7688,0,40,38,1
748,29,2,1,7,4,2,3,2,0,0,40,13,0
749,46,5,9,13,2,9,0,4,0,0,37,38,0
750,29,5,9,13,2,3,0,4,7688,0,40,38,1
751,22,2,9,13,4,9,4,4,0,0,20,38,0
752,58,4,0,6,2,2,0,4,0,0,40,38,0
753,23,2,11,9,4,13,4,4,0,0,50,38,0
754,39,2,11,9,4,5,1,4,0,0,40,38,0
755,27,2,8,11,4,2,3,4,0,0,38,38,0
756,54,2,11,9,2,13,0,4,0,0,40,38,1
759,37,2,11,9,4,4,1,2,0,0,40,38,0
762,34,1,11,9,0,10,4,4,0,0,40,31,0
763,53,3,10,16,2,3,0,4,0,0,70,38,1
764,51,2,9,13,4,11,1,4,0,0,55,38,1
766,31,5,15,10,3,7,2,4,0,0,40,38,0
769,32,2,11,9,4,6,1,4,0,0,40,38,0
771,37,2,4,3,5,4,1,4,0,0,32,12,0
772,31,2,11,9,0,2,4,4,0,0,55,38,0
774,55,2,11,9,4,11,1,4,0,0,38,38,0
775,23,1,8,11,0,12,1,4,0,0,56,38,0
778,43,2,9,13,2,11,0,4,0,0,50,38,1
779,54,2,15,10,4,12,1,4,0,0,40,38,0
782,40,2,8,11,2,3,0,4,0,0,50,38,1
783,41,4,15,10,2,3,0,4,0,0,60,38,0
786,61,4,11,9,2,4,0,4,0,2352,50,38,0
787,18,2,2,8,4,6,3,4,0,0,30,38,0
790,48,2,8,11,2,12,0,4,0,0,50,38,1
791,41,3,9,13,2,12,0,4,0,0,40,38,0
794,60,2,11,9,2,13,0,4,0,0,60,38,1
795,22,2,15,10,4,7,2,2,0,0,20,38,0
796,61,2,11,9,2,6,0,4,0,0,40,38,0
